firm,firm_slug,rating,reviews,account_size,steps,steps_label,profit_targets,daily_drawdown_pct,max_drawdown_pct,pt_dd_ratio,profit_split_pct,payout_timing,fee_discounted,fee_original,fee_assumed,fee_assumption,currency,asset_class,activation_fee,max_contract_size,max_loss_type,max_payout_amount,min_payout_threshold,consistency_rule,loyalty_pts
Tradeify,tradeify,4.8,149,50000,1,1 Step,"$3,000",,2000.0,1:0.67,90.0,5 days with Minimum profits of $150,97.3,139.0,139.0,original_no_discount,USD,futures,None,"{""minis"": 4, ""micros"": 40}",EOD Trailing,"$1,500","$3,000","{""eval"": ""None"", ""funded"": ""35%""}",101
My Funded Futures,my-funded-futures,4.6,208,50000,1,1 Step,"$3,000",,2000.0,1:0.67,80.0,5 winning days of $150 minimum,107.0,107.0,107.0,original_no_discount,USD,futures,None,"{""minis"": 5, ""micros"": 50}",EOD Trailing,"$5,000",$250,"{""eval"": ""50%"", ""funded"": ""None""}",141
Alpha Futures,alpha-futures,4.6,37,50000,1,1 Step,"$3,000",,2000.0,1:0.67,70.0,"Every 14 days, provided the 40% Consistency Rule",67.15,79.0,79.0,original_no_discount,USD,futures,$149.00,"{""minis"": 5, ""micros"": 50}",EOD Trailing,"$15,000",None,"{""eval"": ""50%"", ""funded"": ""40%""}",148
Apex Trader Funding,apex-trader-funding,3.8,95,50000,1,1 Step,"$3,000",,2000.0,1:0.6,100.0,Weekly | Minimum of 5 trading days,19.7,131.33,131.33,original_no_discount,USD,futures,$79.00,"{""minis"": 6, ""micros"": 60}",Intraday Trailing,"$1,500",$500+ safety net,"{""eval"": ""None"", ""funded"": ""50%""}",0
Top One Futures,top-one-futures,4.7,66,50000,1,1 Step,"$3,000",,2000.0,1:0.67,90.0,Profit Requirement and Consistency Rule Met,68.25,105.0,105.0,original_no_discount,USD,futures,$149.00,"{""minis"": 3, ""micros"": 30}",EOD Trailing,"$2,500","$3,000","{""eval"": ""None"", ""funded"": ""25%""}",46
FundedNext Futures,fundednext-futures,4.4,51,50000,1,1 Step,"$3,000",,2000.0,1:0.67,80.0,"50% profit split after every 5 benchmark days, 100% after 30 or more benchmark days",69.99,99.99,99.99,original_no_discount,USD,futures,None,"{""minis"": 3, ""micros"": 9}",EOD Trailing,"$1,200",$250,"{""eval"": ""40%"", ""funded"": ""None""}",58
NEW,lucid-trading,,,50000,1,1 Step,"$3,000",,2000.0,1:0.6,90.0,Every 5 Days,65.0,130.0,130.0,original_no_discount,USD,futures,None,"{""minis"": 4, ""micros"": 40}",EOD Trailing,"$2,000",$500,"{""eval"": ""50%"", ""funded"": ""None""}",107
Topstep,topstep,4.5,106,50000,1,1 Step,"$3,000",,2000.0,1:0.67,90.0,Funded Standard Path: 5 Winning days ($150 per winning day to qualify for payout) | Funded Consistency Path: at least 3 Trading days (Meet consistency),49.0,49.0,49.0,original_no_discount,USD,futures,$149.00,"{""minis"": 5, ""micros"": 50}",EOD Trailing,"$5,000",None,"{""eval"": ""50%"", ""funded"": ""None""}",81
Take Profit Trader,take-profit-trader,3.3,15,50000,1,1 Step,"$3,000",,2000.0,1:0.67,80.0,After clearing the buffer zone,102.0,170.0,170.0,original_no_discount,USD,futures,$130.00,"{""minis"": 6, ""micros"": 60}",EOD Trailing,None,None,"{""eval"": ""50%"", ""funded"": ""None""}",168
Blue Guardian Futures,blue-guardian-futures,4.0,84,50000,1,1 Step,"$4,000",,2000.0,1:0.5,100.0,"14 days, provided 5 profitable days is met",35.7,119.0,119.0,original_no_discount,USD,futures,$99.00,"{""minis"": 5, ""micros"": 50}",EOD Trailing,"$1,350",7% buffer zone,"{""eval"": ""30%"", ""funded"": ""30%""}",59
AquaFutures,aquafutures,3.9,68,50000,1,1 Step,"$3,000",,2500.0,1:0.83,100.0,7 Days,40.0,100.0,100.0,original_no_discount,USD,futures,None,"{""minis"": 3, ""micros"": 30}",EOD Trailing,"$1,500",6% buffer zone,"{""eval"": ""40%"", ""funded"": ""40%""}",66
E8 Futures,e8-futures,4.6,12,50000,1,1 Step,"$3,000",,2000.0,1:0.67,80.0,On Demand (Rules Apply),135.0,150.0,150.0,original_no_discount,USD,futures,None,"{""minis"": 4, ""micros"": null}",EOD Trailing,"$1,250",$100,"{""eval"": ""None"", ""funded"": ""35%""}",66
TradeDay,tradeday,4.8,11,50000,1,1 Step,"$3,000",,2000.0,1:0.67,80.0,On Demand; After clearing the Buffer Zone,87.5,125.0,125.0,original_no_discount,USD,futures,$139.00,"{""minis"": 5, ""micros"": 50}",Trailing,"$20,000",Equivalent to max drawdown,"{""eval"": ""30%"", ""funded"": ""None""}",98
The Trading Pit Futures,the-trading-pit-futures,,,50000,1,1 Step,"$3,000",,2000.0,1:0.67,80.0,"5 profitable days of 200$, then 5 profitable days of 200$, then every 7 days for profits over $200",89.1,99.0,99.0,original_no_discount,USD,futures,$129.00,"{""minis"": 5, ""micros"": 50}",EOD Trailing,"$5,000 or 50% of realized profits, whichever is lower","$1,000","{""eval"": ""40%"", ""funded"": ""None""}",114
Earn2Trade,earn2trade,4.7,13,50000,1,1 Step,"$3,000",,2000.0,1:0.67,80.0,7 Days,68.0,170.0,170.0,original_no_discount,USD,futures,$139.00,"{""minis"": 6, ""micros"": 60}",Trailing,"$4,000",None,"{""eval"": ""30%"", ""funded"": ""30%""}",54
